10074514090;Закрытие счета (вклада);1170;5281267026;1136;5281267026;1170;1170;5281267026;1125;1136;5281267026;1170;1103;1123;1109;1103;1123;good;1109;1103;1125;1125;;;;;;;
10109776048;Закрытие счета (вклада);;;;;;;;;;;1216;5465551953;1216;1134;1216;1103;good;1123;1109;5465551953;1216;;;;;;;
10217067401;Выдача наличных денежных средств со счета (вклада);6100986271;6100986271;6100986271;6100986271;6064100661;6100986271;6100986271;6100986271;6100986271;6100986271;1216;890904439;3246631463;6064100661;890896994;1216;good;1123;1103;1109;1103;1109;1136;;;;;
10223767195;Открытие счета (вклада) наличными;;;;;;1134;1103;1109;1216;890904439;890896994;1216;1123;1103;1123;1123;good;1109;1216;890904439;1134;1103;3246631463;890896994;1216;;;
10231902245;Приход н/д по л/с другого ВСП, ОСБ;1125;1125;1123;1123;1125;1125;1123;1123;1125;1125;1123;1123;6064100661;6064100661;1125;1125;good;1123;1125;1125;1134;1123;1123;6064100661;6064100661;6064100661;;
10238056846;Выдача наличных денежных средств со счета (вклада);;;;;;;;;;;;;1125;1125;1103;1123;good;1109;1125;1125;5465551953;1216;6101017092;6101017092;6101017092;6101017092;6101017092;
10241026683;Выдача н/д средств со вклада по л/с другого ВСП;890896994;1216;1216;1216;1134;1134;1134;5465551953;6064100661;6064100661;6064100661;6064100661;1123;1123;1123;1123;good;1123;1123;1123;1123;6064100661;6064100661;6064100661;1134;1134;6097787339;
10289613210;Выдача наличных денежных средств со счета (вклада);6103192580;6103192580;6064100661;6103192580;1134;1216;1134;5465551953;1216;6103192580;6103192580;6103192580;6064100661;6103192580;1216;1123;good;1123;6064100661;;;;;;;;;
10373320820;Закрытие счета (вклада);;5465551953;1216;6101017092;6101017092;6101017092;6101017092;6101017092;6101017092;1216;1125;1125;1123;1123;1125;1125;good;1123;1103;;;;;;;;;
10466151005;Приход н/д по л/с другого ВСП, ОСБ;;;;;;890904439;1216;3246631463;3246631463;1125;1216;890896994;1125;1134;1103;1123;good;1123;1109;;;;;;;;;
10565139230;Открытие счета (вклада) наличными;;;1170;5281267026;1103;1109;1216;1216;1136;1170;5281267026;1216;6064100661;6064100661;1216;1103;good;1123;1109;1136;1170;5281267026;5281267026;1170;5281267026;1170;5281267026;
10588990209;Регистрация недостачи денежной наличности;1170;5281267026;5281267026;1170;5281267026;1170;1170;5281267026;1103;1125;1109;1103;1109;1103;1123;1123;good;1123;1109;1103;1125;;;;;;;
10709747435;Выдача н/д средств со вклада по л/с другого ВСП;;;;;;;;;;;1134;1136;1136;1134;1125;1125;good;1123;1125;1125;1136;5281267026;1170;;;;;
10720128138;Получение подкрепления наличных денег;;1119;1119;1119;5465551953;1216;6100996664;6100996664;6100996664;6100971872;6100971872;1119;1119;1119;1119;1216;good;7604445879;1123;1123;7604445879;;;;;;;
10753220175;Закрытие счета (вклада);;;;;;;;;1134;1103;1109;1109;1216;5465551953;1216;1103;good;1123;1123;1109;1103;1123;1123;1123;1109;;;
10772601919;Взнос н/д на БК;1125;1125;1125;1134;1134;1125;1125;1136;1170;5281267026;1170;1125;5465551953;6101025570;6101025570;6101025570;good;6101025570;6101025570;6101025570;1136;1170;5281267026;1134;1134;;;
10790406862;Закрытие счета (вклада);;;;;;;;;;;1216;890904439;890896994;1216;1103;1123;good;1109;1216;1125;1125;;;;;;;
10794337980;Высылка излишков наличных денег;6064027597;6064027586;1134;1134;1103;1103;1134;1134;1123;1123;1123;1123;1123;1123;7604445879;7604445879;good;1123;7604445879;7604445879;7604445879;7604445879;1123;1123;1123;1123;7604445879;
10796999603;Высылка излишков наличных денег;;;;;;;;;;6064027586;6064027597;1134;1103;1123;7604445879;7604445879;good;1123;7604445879;1123;7604445879;;;;;;;
10839062394;Выдача н/д средств со вклада по л/с другого ВСП;6101017092;6101017092;6101017092;3246631463;890896994;1216;1136;1170;5281267026;5465551953;1216;6100954493;6100954493;1216;1125;1125;good;1123;1136;1170;5281267026;1170;5281267026;1170;5281267026;1170;5281267026;
10851816416;Высылка излишков наличных денег;1170;5281267026;1170;5281267026;1170;5281267026;1170;1170;5281267026;1103;5465551953;6101025570;6101025570;6101025570;1123;7604445879;good;7604445879;1123;7604445879;1123;7604445879;;;;;;
10857824327;Выдача н/д средств со вклада по л/с другого ВСП;;;;;;;;;;;1134;1103;1109;1103;1109;1103;good;1123;1109;1103;;;;;;;;
